energy_generation,hour
0.865179996,1
0.865179996,2
0.865179996,3
0.865179996,4
0.865179996,5
0.865179996,6
0.865179996,7
0.865179996,8
0.865179996,9
0.827595617,10
0.462968415,11
0.3576731,12
0.319342393,13
0.228454614,14
0.275937869,15
0.289523513,16
0.318128586,17
0.314453394,18
0.605275085,19
0.806488095,20
0.69955431,21
0.76749293,22
0.848806271,23
0.865179996,24
0.865179996,25
0.865179996,26
0.758218685,27
0.603742555,28
0.571840717,29
0.46367163,30
0.53628301,31
0.468447291,32
0.374312705,33
0.264307839,34
0.190067699,35
0.156239472,36
0.166549751,37
0.185845808,38
0.147579751,39
0.098732417,40
0.086149971,41
0.055932446,42
0.024009118,43
0.0,44
0.0,45
0.0,46
0.0,47
0.0,48
0.0,49
0.029984659,50
0.20181295,51
0.479814358,52
0.642560077,53
0.741781293,54
0.829276973,55
0.849156687,56
0.856112832,57
0.782519022,58
0.408202455,59
0.43183944,60
0.404763898,61
0.454216889,62
0.55430637,63
0.517279627,64
0.656853567,65
0.865179996,66
0.865179996,67
0.865179996,68
0.865179996,69
0.865179996,70
0.865179996,71
0.86100916,72
0.267378126,73
0.150685645,74
0.222583717,75
0.623555177,76
0.865179996,77
0.865179996,78
0.865179996,79
0.865179996,80
0.865179996,81
0.840618,82
0.314601553,83
0.167282737,84
0.063310821,85
0.124561891,86
0.085766133,87
0.02395287,88
0.017248151,89
0.061926279,90
0.121606977,91
0.118483803,92
0.06561258,93
0.068726195,94
0.126575134,95
0.163842533,96
0.241234901,97
0.353536913,98
0.49513765,99
0.546478213,100
0.571757879,101
0.658168027,102
0.624005365,103
0.694572096,104
0.680256714,105
0.478183029,106
0.28785685,107
0.065503557,108
0.088800281,109
0.120069821,110
0.142897026,111
0.192180123,112
0.301553556,113
0.644047881,114
0.844540084,115
0.865179996,116
0.865179996,117
0.865179996,118
0.865179996,119
0.865179996,120
0.865179996,121
0.865179996,122
0.865179996,123
0.865179996,124
0.865179996,125
0.865179996,126
0.865179996,127
0.865179996,128
0.85761163,129
0.415428004,130
0.169452776,131
0.040777547,132
0.021025473,133
0.0,134
0.000219648,135
0.016307148,136
